pipeline_id,run_id,timestamp,ci_tool,repository,branch,commit_hash,author,language,os,cloud_provider,build_duration_sec,test_duration_sec,deploy_duration_sec,failure_stage,failure_type,error_code,error_message,severity,cpu_usage_pct,memory_usage_mb,retry_count,is_flaky_test,rollback_triggered,incident_created,error_anchor,injected_secret
pipe_2032,run_0,2025-12-29T07:58:16.927259,Jenkins,repo_469,release,53820d0dddb2d97f40cbf0e1b4566169f480b86e,user_689,Python,windows-latest,On-Prem,1996,805,532,build,Security Scan Failure,ERR_SEC_SECRET_FOUND,"##[group]Run pip install -r requirements.txt
gitleaks: leak found in commit 53820d0dddb2
Rule: generic-api-key   File: config/search.env
Match: GOOGLE_API_KEY=AIzaSyD3aBcDeFgHiJkLmNoPqRsTuVwXyZ12345
Pipeline blocked: rotate the credential.",MEDIUM,41.15,3132,3,False,False,False,Rule: generic-api-key,AIzaSyD3aBcDeFgHiJkLmNoPqRsTuVwXyZ12345
pipe_8152,run_1,2025-11-23T05:49:16.927259,Jenkins,repo_468,feature-x,be6da17c5b96301edc318c3fb56e77ef4a7b4d3c,user_326,Python,ubuntu-latest,AWS,418,1163,386,build,Build Failure,ERR_BUILD_COMPILE,"##[group]Run mypy src/ --strict
src/payments/handler.py:61:12: error: Argument 1 to ""charge"" has incompatible type ""str""; expected ""int""  [arg-type]
Found 1 error in 1 file",CRITICAL,31.07,3665,2,False,False,True,src/payments/handler.py:61:12,
pipe_7704,run_2,2026-01-02T05:36:16.927259,Jenkins,repo_360,main,f472559bbaa8d006960612dc01ead013f1e0b16d,user_79,Go,ubuntu-latest,On-Prem,1154,680,290,build,Build Failure,ERR_BUILD_SYNTAX,"##[group]Run go build ./...
./auth/main.go:150:6: undefined: ComputeTotal
./auth/main.go:152:2: imported and not used: ""fmt""
exit status 2",HIGH,27.94,23250,4,False,False,False,main.go:150:6: undefined: ComputeTotal,
pipe_9385,run_3,2025-12-02T02:12:16.927259,Jenkins,repo_47,develop,a76a1cbf1ce309b5a6695ce5471c956622877120,user_596,Python,ubuntu-latest,On-Prem,3176,836,224,build,Resource Exhaustion,ERR_RES_OOM,"##[group]Run pip install -r requirements.txt
Killed
make: *** [Makefile:42: build] Error 137
Container exceeded its memory limit of 4096MB (OOMKilled)",HIGH,95.01,30627,1,False,False,False,Error 137,
pipe_6003,run_4,2025-12-26T17:18:16.927259,GitHub Actions,repo_472,main,4963c384532230d365165b206d2584fef4444ebf,user_907,NodeJS,ubuntu-latest,GCP,1705,945,1694,test,Security Scan Failure,ERR_SEC_CVE,"##[group]Run npm test
trivy image search-indexer:latest (debian 12)
CRITICAL: CVE-2023-45857 in libssl3 3.0.11 - fixed in 3.0.14
exit code 1 due to --exit-code on CRITICAL",HIGH,54.63,27558,0,False,False,True,CVE-2023-45857,
pipe_3418,run_5,2025-11-13T11:19:16.927259,GitLab CI,repo_261,feature-x,0670da1803ac1f9c622384eb6b66e78f9e95b8b5,user_830,C++,windows-latest,Azure,2029,998,230,deploy,Network Error,ERR_NET_DNS,"##[group]Run cmake --build build -j4
curl: (6) Could not resolve host: api-gateway.prod.internal
fatal: unable to access 'https://api-gateway.prod.internal/billing.git': Could not resolve host",LOW,22.43,27390,5,False,True,False,Could not resolve host: api-gateway.prod.internal,
pipe_3650,run_6,2025-12-20T09:09:16.927259,Azure DevOps,repo_220,main,fe1c03faedaf3e375bfb3665d8f71d99f2720a5f,user_680,Rust,ubuntu-latest,GCP,1391,1891,1330,deploy,Network Error,ERR_NET_REFUSED,"##[group]Run cargo build --release
requests.exceptions.SSLError: HTTPSConnectionPool(host='auth.service.internal', port=443): certificate verify failed: unable to get local issuer certificate",MEDIUM,44.56,13975,2,False,True,False,host='auth.service.internal',
pipe_1972,run_7,2025-09-12T18:25:16.927259,GitLab CI,repo_164,feature-x,9943e2b1b7513a57d5a1a0394574947a0fe08952,user_733,Rust,windows-latest,AWS,1734,1228,104,test,Resource Exhaustion,ERR_RES_CPU,"##[group]Run cargo test --all
No space left on device
failed to write C:\Users\ci-runner\AppData\Local\Temp\build/target: disk usage 97% of 100GB",HIGH,97.06,30216,3,False,False,False,No space left on device,
pipe_2198,run_8,2026-02-09T07:43:16.927259,GitHub Actions,repo_97,develop,b526654cac628d39e59c54669cf9c45cdec47da4,user_338,Go,ubuntu-latest,On-Prem,2853,2151,1797,test,Configuration Error,ERR_CFG_MISSING_KEY,"##[group]Run go test ./... -race
Traceback (most recent call last):
  File ""/home/buildbot/work/search/settings.py"", line 63, in <module>
    region = os.environ['NODE_ENV']
KeyError: 'NODE_ENV'",HIGH,36.24,22740,2,False,False,False,KeyError: 'NODE_ENV',
pipe_9982,run_9,2026-02-03T16:20:16.927259,Jenkins,repo_45,feature-x,f36ceae636db4b09b42673cd3c03b491094cf4fc,user_287,Java,ubuntu-latest,Azure,2377,41,819,test,Resource Exhaustion,ERR_RES_OOM,"##[group]Run mvn -B test
java.lang.OutOfMemoryError: Java heap space
	at billing.Aggregator.collect(Aggregator.java:171)
Terminating due to java.lang.OutOfMemoryError",CRITICAL,98.07,31623,3,False,False,True,java.lang.OutOfMemoryError,
